,Index,Article Type,Title,Authors,Publication Source,Publication Year,Citations,Importance Rate,Impact Factor,Article Link,BibTex,Synopsis,Cluster
0,1,1,Reinforcement Learning based Recommender Systems: A Survey,"B. Far, M. Afsar, T. Crump",ACM Computing Surveys,2021,102,2.999011369253584, ,https://www.semanticscholar.org/paper/5685abf9e7bb2c16449ae1eb181051e503602a55,"@['JournalArticle', 'Review']{Afsar2021ReinforcementLB,
 author = {M. Afsar and T. Crump and B. Far},
 booktitle = {ACM Computing Surveys},
 journal = {ACM Computing Surveys},
 pages = {1 - 38},
 title = {Reinforcement Learning based Recommender Systems: A Survey},
 volume = {55},
 year = {2021}
}
","Recommender systems (RSs) have become an inseparable part of our everyday lives. They help us find our favorite items to purchase, our friends on social networks, and our favorite movies to watch. Traditionally, the recommendation problem was considered to be a classification or prediction problem, but it is now widely agreed that formulating it as a sequential decision problem can better reflect the user-system interaction. Therefore, it can be formulated as a Markov decision process (MDP) and be solved by reinforcement learning (RL) algorithms. Unlike traditional recommendation methods, including collaborative filtering and content-based filtering, RL is able to handle the sequential, dynamic user-system interaction and to take into account the long-term user engagement. Although the idea of using RL for recommendation is not new and has been around for about two decades, it was not very practical, mainly because of scalability problems of traditional RL algorithms. However, a new trend has emerged in the field since the introduction of deep reinforcement learning (DRL), which made it possible to apply RL to the recommendation problem with large state and action spaces. In this paper, a survey on reinforcement learning based recommender systems (RLRSs) is presented. Our aim is to present an outlook on the field and to provide the reader with a fairly complete knowledge of key concepts of the field. We first recognize and illustrate that RLRSs can be generally classified into RL- and DRL-based methods. Then, we propose an RLRS framework with four components, i.e., state representation, policy optimization, reward formulation, and environment building, and survey RLRS algorithms accordingly. We highlight emerging topics and depict important trends using various graphs and tables. Finally, we discuss important aspects and challenges that can be addressed in the future.",6
1,2,1,Management of Immune-Related Adverse Events in Patients Treated With Immune Checkpoint Inhibitor Therapy: ASCO Guideline Update,"A. Naing, A. Spira, B. Santomasso, B. Schneider, C. Lacchetti, C. Reichner, C. Seigel, I. Chau, I. Jaiyesimi, J. Caterino, J. Mammen, J. Naidoo, J. Thompson, J. Weber, Jung-Min Song, Kathryn Bollin, Kelly J. Brassil, L. Fecher, L. Nastoupil, Laura D. Porter, M. Anadkat, M. Atkins, M. Davies, M. Ernstoff, M. Ghosh, M. Suarez‐Almazor, P. Funchain, Praveen Vikas, S. Adkins, Tanyanika Phillips, U. Swami, Yinghong Wang",Journal of Clinical Oncology,2021,251,2.999011369253584, ,https://www.semanticscholar.org/paper/b20e75514ba5d91a43994364051932fc39fb9068,"@['JournalArticle', 'Review']{Schneider2021ManagementOI,
 author = {B. Schneider and J. Naidoo and B. Santomasso and C. Lacchetti and S. Adkins and M. Anadkat and M. Atkins and Kelly J. Brassil and J. Caterino and I. Chau and M. Davies and M. Ernstoff and L. Fecher and M. Ghosh and I. Jaiyesimi and J. Mammen and A. Naing and L. Nastoupil and Tanyanika Phillips and Laura D. Porter and C. Reichner and C. Seigel and Jung-Min Song and A. Spira and M. Suarez‐Almazor and U. Swami and J. Thompson and Praveen Vikas and Yinghong Wang and J. Weber and P. Funchain and Kathryn Bollin},
 booktitle = {Journal of Clinical Oncology},
 journal = {Journal of Clinical Oncology},
 pages = {4073 - 4126},
 title = {Management of Immune-Related Adverse Events in Patients Treated With Immune Checkpoint Inhibitor Therapy: ASCO Guideline Update},
 volume = {39},
 year = {2021}
}
","PURPOSE To increase awareness, outline strategies, and offer guidance on the recommended management of immune-related adverse events (irAEs) in patients treated with immune checkpoint inhibitor (ICPi) therapy. METHODS A multidisciplinary panel of medical oncology, dermatology, gastroenterology, rheumatology, pulmonology, endocrinology, neurology, hematology, emergency medicine, nursing, trialists, and advocacy experts was convened to update the guideline. Guideline development involved a systematic literature review and an informal consensus process. The systematic review focused on evidence published from 2017 through 2021. RESULTS A total of 175 studies met the eligibility criteria of the systematic review and were pertinent to the development of the recommendations. Because of the paucity of high-quality evidence, recommendations are based on expert consensus. RECOMMENDATIONS Recommendations for specific organ system–based toxicity diagnosis and management are presented. While management varies according to the organ system affected, in general, ICPi therapy should be continued with close monitoring for grade 1 toxicities, except for some neurologic, hematologic, and cardiac toxicities. ICPi therapy may be suspended for most grade 2 toxicities, with consideration of resuming when symptoms revert ≤ grade 1. Corticosteroids may be administered. Grade 3 toxicities generally warrant suspension of ICPis and the initiation of high-dose corticosteroids. Corticosteroids should be tapered over the course of at least 4-6 weeks. Some refractory cases may require other immunosuppressive therapy. In general, permanent discontinuation of ICPis is recommended with grade 4 toxicities, except for endocrinopathies that have been controlled by hormone replacement. Additional information is available at www.asco.org/supportive-care-guidelines.",54
2,3,1,Resolving data sparsity and cold start problem in collaborative filtering recommender system using Linked Open Data,"A. Gandomi, S. Natarajan, Sivaramakrishnan R. Natarajan, Subramaniyaswamy Vairavasundaram",Expert systems with applications,2020,102,2.998517053880376, ,https://www.semanticscholar.org/paper/9bb61225b69b034a71ff891963a7007b28190c86,"@['JournalArticle']{Natarajan2020ResolvingDS,
 author = {S. Natarajan and Subramaniyaswamy Vairavasundaram and Sivaramakrishnan R. Natarajan and A. Gandomi},
 booktitle = {Expert systems with applications},
 journal = {Expert Syst. Appl.},
 pages = {113248},
 title = {Resolving data sparsity and cold start problem in collaborative filtering recommender system using Linked Open Data},
 volume = {149},
 year = {2020}
}
",No synopsis,13
3,4,1,Bias and Debias in Recommender System: A Survey and Future Directions,"Fuli Feng, Hande Dong, Jiawei Chen, Meng Wang, Xiang Wang, Xiangnan He",ACM Transactions on Information Systems,2020,246,2.998517053880376, ,https://www.semanticscholar.org/paper/9779f919685adee936835eff46914d3d69d9ccb9,"@['JournalArticle', 'Review']{Chen2020BiasAD,
 author = {Jiawei Chen and Hande Dong and Xiang Wang and Fuli Feng and Meng Wang and Xiangnan He},
 booktitle = {ACM Transactions on Information Systems},
 journal = {ACM Transactions on Information Systems},
 title = {Bias and Debias in Recommender System: A Survey and Future Directions},
 year = {2020}
}
","While recent years have witnessed a rapid growth of research papers on recommender system (RS), most of the papers focus on inventing machine learning models to better fit user behavior data. However, user behavior data is observational rather than experimental. This makes various biases widely exist in the data, including but not limited to selection bias, position bias, exposure bias, and popularity bias. Blindly fitting the data without considering the inherent biases will result in many serious issues, e.g., the discrepancy between offline evaluation and online metrics, hurting user satisfaction and trust on the recommendation service, etc. To transform the large volume of research models into practical improvements, it is highly urgent to explore the impacts of the biases and perform debiasing when necessary. When reviewing the papers that consider biases in RS, we find that, to our surprise, the studies are rather fragmented and lack a systematic organization. The terminology “bias” is widely used in the literature, but its definition is usually vague and even inconsistent across papers. This motivates us to provide a systematic survey of existing work on RS biases. In this paper, we first summarize seven types of biases in recommendation, along with their definitions and characteristics. We then provide a taxonomy to position and organize the existing work on recommendation debiasing. Finally, we identify some open challenges and envision some future directions, with the hope of inspiring more research work on this important yet less investigated topic. The summary of debiasing methods reviewed in this survey can be found at https://github.com/jiawei-chen/RecDebiasing.",15
4,5,1,High-performance medicine: the convergence of human and artificial intelligence,E. Topol,Nature Network Boston,2019,2260,2.998022738507168, ,https://www.semanticscholar.org/paper/2231aff2b59ea3ef7b0684ed6a1bbfa832b40831,"@['Review', 'JournalArticle']{Topol2019High-performanceMT,
 author = {E. Topol},
 booktitle = {Nature Network Boston},
 journal = {Nature Medicine},
 pages = {44-56},
 title = {High-performance medicine: the convergence of human and artificial intelligence},
 volume = {25},
 year = {2019}
}
",No synopsis,42
5,6,1,How good your recommender system is? A survey on evaluations in recommendation,"Min Zhang, Shaoping Ma, Thiago Silveira, Xiao Lin, Yiqun Liu",International Journal of Machine Learning and Cybernetics,2019,125,2.998022738507168, ,https://www.semanticscholar.org/paper/c99ed8619e6fe8e6eae4a8b5ca61135b90396a98,"@['JournalArticle', 'Review']{Silveira2019HowGY,
 author = {Thiago Silveira and Min Zhang and Xiao Lin and Yiqun Liu and Shaoping Ma},
 booktitle = {International Journal of Machine Learning and Cybernetics},
 journal = {International Journal of Machine Learning and Cybernetics},
 pages = {813-831},
 title = {How good your recommender system is? A survey on evaluations in recommendation},
 volume = {10},
 year = {2019}
}
",No synopsis,15
6,7,1,Top-K Off-Policy Correction for a REINFORCE Recommender System,"Alex Beutel, Ed H. Chi, Francois Belletti, Minmin Chen, Paul Covington, Sagar Jain",Web Search and Data Mining,2018,305,2.997528423133959, ,https://www.semanticscholar.org/paper/f76ac3753cd0b5d584ad5eb04819a4dddba82891,"@['JournalArticle', 'Book']{Chen2018Top-KOC,
 author = {Minmin Chen and Alex Beutel and Paul Covington and Sagar Jain and Francois Belletti and Ed H. Chi},
 booktitle = {Web Search and Data Mining},
 journal = {Proceedings of the Twelfth ACM International Conference on Web Search and Data Mining},
 title = {Top-K Off-Policy Correction for a REINFORCE Recommender System},
 year = {2018}
}
","Industrial recommender systems deal with extremely large action spaces -- many millions of items to recommend. Moreover, they need to serve billions of users, who are unique at any point in time, making a complex user state space. Luckily, huge quantities of logged implicit feedback (e.g., user clicks, dwell time) are available for learning. Learning from the logged feedback is however subject to biases caused by only observing feedback on recommendations selected by the previous versions of the recommender. In this work, we present a general recipe of addressing such biases in a production top-K recommender system at Youtube, built with a policy-gradient-based algorithm, i.e. REINFORCE. The contributions of the paper are: (1) scaling REINFORCE to a production recommender system with an action space on the orders of millions; (2) applying off-policy correction to address data biases in learning from logged feedback collected from multiple behavior policies; (3) proposing a novel top-K off-policy correction to account for our policy recommending multiple items at a time; (4) showcasing the value of exploration. We demonstrate the efficacy of our approaches through a series of simulations and multiple live experiments on Youtube.",17
7,8,1,A recommender system based on collaborative filtering using ontology and dimensionality reduction techniques,"Karamollah Bagherifard, M. Nilashi, O. Ibrahim",Expert systems with applications,2018,241,2.997528423133959, ,https://www.semanticscholar.org/paper/00755244cf592d19101253f661ac12607c2b4344,"@['JournalArticle']{Nilashi2018ARS,
 author = {M. Nilashi and O. Ibrahim and Karamollah Bagherifard},
 booktitle = {Expert systems with applications},
 journal = {Expert Syst. Appl.},
 pages = {507-520},
 title = {A recommender system based on collaborative filtering using ontology and dimensionality reduction techniques},
 volume = {92},
 year = {2018}
}
",No synopsis,13
8,9,1,DeepSurv: personalized treatment recommender system using a Cox proportional hazards deep neural network,"A. Cloninger, Jared Katzman, Jonathan Bates, Tingting Jiang, Uri Shaham, Y. Kluger",BMC Medical Research Methodology,2018,526,2.997528423133959, ,https://www.semanticscholar.org/paper/bb9903551f9dd7bfc00b85416222e38296b12b9c,"@['JournalArticle']{Katzman2018DeepSurv:PT,
 author = {Jared Katzman and Uri Shaham and A. Cloninger and Jonathan Bates and Tingting Jiang and Y. Kluger},
 booktitle = {BMC Medical Research Methodology},
 journal = {BMC Medical Research Methodology},
 title = {DeepSurv: personalized treatment recommender system using a Cox proportional hazards deep neural network},
 volume = {18},
 year = {2018}
}
",No synopsis,18
9,10,1,A content-based recommender system for computer science publications,"Dong Xu, Donghui Wang, Renchu Guan, Xiaoyue Feng, Yanchun Liang",Knowledge-Based Systems,2018,217,2.997528423133959, ,https://www.semanticscholar.org/paper/5f25bd23f91240d1fff357d0e2cf8b9923b31638,"@['JournalArticle']{Wang2018ACR,
 author = {Donghui Wang and Yanchun Liang and Dong Xu and Xiaoyue Feng and Renchu Guan},
 booktitle = {Knowledge-Based Systems},
 journal = {Knowl. Based Syst.},
 pages = {1-9},
 title = {A content-based recommender system for computer science publications},
 volume = {157},
 year = {2018}
}
",No synopsis,7
